year,method,correlation,p_value,n_institutions
2022,pearson,0.1064114484269644,5.507578040470899e-06,1816
2022,spearman,0.2565121387476437,1.121294831249498e-28,1816
2023,pearson,0.26145656982307264,6.2620718239742625e-27,1633
2023,spearman,0.29708452985003364,1.2450093691733697e-34,1633
