country_code,year,records_count,institutions_count,total_students,students_total_calc,students_total_with_observed_isced8,students_total_component_sum_complete_records,students_total_component_sum_incomplete_records,students_total_component_sum_incomplete_students,students_isced5,students_isced6,students_isced7,students_isced8,foreign_students_total,foreign_students_total_with_observed_isced8,foreign_total_component_sum_complete_records,foreign_total_component_sum_incomplete_records,foreign_total_component_sum_incomplete_students,foreign_students_isced5,foreign_students_isced6,foreign_students_isced7,foreign_students_isced8,academic_personnel_fte,total_personnel_fte,support_admin_personnel_fte,total_revenues_eur,total_revenues_ppp,total_expenditure_eur,total_expenditure_ppp,third_party_funding_eur,third_party_funding_ppp,rd_expenditure_eur,rd_expenditure_ppp,mean_institution_size,median_institution_size,min_institution_size,max_institution_size,cities_count,records_with_complete_isced_structure,institutions_with_student_data,complete_isced_structure_share,isced_shares_reliable,isced_structure_coverage_flag,student_coverage_share,students_total_component_sum_incomplete_share,foreign_total_component_sum_incomplete_share,students_total_reliable,total_students_reliable,isced5_share_observed,isced5_share_reliable,isced5_share,foreign_students_isced5_share,isced6_share_observed,isced6_share_reliable,isced6_share,foreign_students_isced6_share,isced7_share_observed,isced7_share_reliable,isced7_share,foreign_students_isced7_share,isced8_share_observed,isced8_share_reliable,isced8_share,foreign_students_isced8_share,phd_share,phd_share_observed,phd_share_reliable,avg_observed_institution_size,students_per_registered_institution,avg_institution_size,foreign_students_share_aggregate_unmatched,foreign_students_share_pair_numerator,foreign_students_share_pair_denominator,foreign_students_share_pair_records,foreign_students_share_pair_institutions,foreign_students_share,foreign_students_share_pair_record_coverage,foreign_students_share_denominator_coverage,student_staff_ratio_aggregate_unmatched,student_staff_ratio_pair_numerator,student_staff_ratio_pair_denominator,student_staff_ratio_pair_records,student_staff_ratio_pair_institutions,student_staff_ratio,student_staff_ratio_pair_record_coverage,student_staff_ratio_denominator_coverage,revenue_per_student_eur_aggregate_unmatched,revenue_per_student_eur_pair_numerator,revenue_per_student_eur_pair_denominator,revenue_per_student_eur_pair_records,revenue_per_student_eur_pair_institutions,revenue_per_student_eur,revenue_per_student_eur_pair_record_coverage,revenue_per_student_eur_denominator_coverage,revenue_per_student_ppp_aggregate_unmatched,revenue_per_student_ppp_pair_numerator,revenue_per_student_ppp_pair_denominator,revenue_per_student_ppp_pair_records,revenue_per_student_ppp_pair_institutions,revenue_per_student_ppp,revenue_per_student_ppp_pair_record_coverage,revenue_per_student_ppp_denominator_coverage,expenditure_per_student_eur_aggregate_unmatched,expenditure_per_student_eur_pair_numerator,expenditure_per_student_eur_pair_denominator,expenditure_per_student_eur_pair_records,expenditure_per_student_eur_pair_institutions,expenditure_per_student_eur,expenditure_per_student_eur_pair_record_coverage,expenditure_per_student_eur_denominator_coverage,expenditure_per_student_ppp_aggregate_unmatched,expenditure_per_student_ppp_pair_numerator,expenditure_per_student_ppp_pair_denominator,expenditure_per_student_ppp_pair_records,expenditure_per_student_ppp_pair_institutions,expenditure_per_student_ppp,expenditure_per_student_ppp_pair_record_coverage,expenditure_per_student_ppp_denominator_coverage,third_party_funding_per_student_ppp_aggregate_unmatched,third_party_funding_per_student_ppp_pair_numerator,third_party_funding_per_student_ppp_pair_denominator,third_party_funding_per_student_ppp_pair_records,third_party_funding_per_student_ppp_pair_institutions,third_party_funding_per_student_ppp,third_party_funding_per_student_ppp_pair_record_coverage,third_party_funding_per_student_ppp_denominator_coverage,rd_expenditure_per_student_ppp_aggregate_unmatched,rd_expenditure_per_student_ppp_pair_numerator,rd_expenditure_per_student_ppp_pair_denominator,rd_expenditure_per_student_ppp_pair_records,rd_expenditure_per_student_ppp_pair_institutions,rd_expenditure_per_student_ppp,rd_expenditure_per_student_ppp_pair_record_coverage,rd_expenditure_per_student_ppp_denominator_coverage,rd_expenditure_share_of_expenditure_ppp_aggregate_unmatched,rd_expenditure_share_of_expenditure_ppp_pair_numerator,rd_expenditure_share_of_expenditure_ppp_pair_denominator,rd_expenditure_share_of_expenditure_ppp_pair_records,rd_expenditure_share_of_expenditure_ppp_pair_institutions,rd_expenditure_share_of_expenditure_ppp,rd_expenditure_share_of_expenditure_ppp_pair_record_coverage,rd_expenditure_share_of_expenditure_ppp_denominator_coverage
AL,2016,40,40,139575.0,108010.0,30,0,2,0.0,340.0,77930.0,28055.0,1685.0,,0,0,0,,,,,,,,,,,,,,,0.0,0.0,3489.375,742.5,0.0,28395.0,8,11,40,0.275,False,low,1.0,0.0,0.0,True,139575.0,0.003147856679937043,,,,0.7215072678455698,,,,0.2597444681048051,,,,0.015600407369687992,,,,,0.015600407369687992,,3489.375,3489.375,3489.375,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,0.0,0.0,9885.0,17,17,0.0,0.425,0.07082213863514239,,,,0,0,,0.0,
AL,2017,40,40,131833.0,131833.0,40,0,2,0.0,0.0,87757.0,42664.0,1412.0,2108.0,40,0,2,0.0,0.0,751.0,1096.0,261.0,,,,,,,,,,0.0,0.0,3295.825,905.0,0.0,26785.0,8,38,40,0.95,True,high,1.0,0.0,0.0,True,131833.0,0.0,0.0,0.0,,0.665667928363915,0.665667928363915,0.665667928363915,0.008557721891131192,0.3236215515083477,0.3236215515083477,0.3236215515083477,0.025689105569098068,0.010710520127737365,0.010710520127737365,0.010710520127737365,0.1848441926345609,0.010710520127737365,0.010710520127737365,0.010710520127737365,3295.825,3295.825,3295.825,0.015989926649624904,2108.0,131833.0,37,37,0.015989926649624904,0.925,1.0,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,0.0,0.0,12976.0,21,21,0.0,0.525,0.09842755607473092,,,,0,0,,0.0,
AL,2018,41,41,139043.0,139043.0,41,0,0,,4198.0,89231.0,43749.0,1865.0,2270.0,41,0,0,,15.0,713.0,1334.0,208.0,,,,,,,,,,0.0,0.0,3391.2926829268295,941.0,0.0,29460.0,8,41,41,1.0,True,high,1.0,0.0,0.0,True,139043.0,0.030192098847119236,0.030192098847119236,0.030192098847119236,0.0035731300619342545,0.6417511129650539,0.6417511129650539,0.6417511129650539,0.007990496576301957,0.31464367138223426,0.31464367138223426,0.31464367138223426,0.030492125534297927,0.013413116805592514,0.013413116805592514,0.013413116805592514,0.11152815013404825,0.013413116805592514,0.013413116805592514,0.013413116805592514,3391.2926829268295,3391.2926829268295,3391.2926829268295,0.016325884798227885,2270.0,139043.0,39,39,0.016325884798227885,0.9512195121951219,1.0,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,0.0,0.0,14096.0,23,23,0.0,0.5609756097560976,0.10137871018318075,,,,0,0,,0.0,
AL,2019,41,41,130264.0,130264.0,41,0,0,,5342.0,82669.0,40113.0,2140.0,2246.0,41,0,0,,22.0,666.0,1321.0,237.0,,,,,,,,,,0.0,0.0,3177.170731707317,957.0,0.0,28550.0,8,41,41,1.0,True,high,1.0,0.0,0.0,True,130264.0,0.04100902782042621,0.04100902782042621,0.04100902782042621,0.0041183077499064025,0.6346266044340724,0.6346266044340724,0.6346266044340724,0.008056224219477676,0.30793619111957254,0.30793619111957254,0.30793619111957254,0.032931967192680676,0.016428176625928884,0.016428176625928884,0.016428176625928884,0.11074766355140186,0.016428176625928884,0.016428176625928884,0.016428176625928884,3177.170731707317,3177.170731707317,3177.170731707317,0.01724190873917583,2246.0,130264.0,39,39,0.01724190873917583,0.9512195121951219,1.0,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,0.0,0.0,14265.0,23,23,0.0,0.5609756097560976,0.10950838297611006,,,,0,0,,0.0,
AL,2022,41,41,,,0,0,0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,8,0,0,0.0,False,no_complete_records,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,
AL,2023,40,40,,,0,0,0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,8,0,0,0.0,False,no_complete_records,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,
AT,2013,24,24,284145.0,211235.0,24,0,0,,4875.0,131725.0,50210.0,24425.0,70075.0,24,0,0,,1280.0,33490.0,15745.0,6905.0,21515.0,34725.0,13220.0,3735010228.33,3382272979.3170276,3460355958.4290004,3133557270.6707478,565257859.0500001,511874470.5195193,2055044000.0,1860964058.3542368,11839.375,5202.5,345.0,84125.0,9,24,24,1.0,True,high,1.0,0.0,0.0,True,284145.0,0.0230785617913698,0.0230785617913698,0.0230785617913698,0.26256410256410256,0.6235945747627051,0.6235945747627051,0.6235945747627051,0.25424179161131144,0.23769735129121594,0.23769735129121594,0.23769735129121594,0.31358295160326627,0.11562951215470921,0.11562951215470921,0.11562951215470921,0.2827021494370522,0.11562951215470921,0.11562951215470921,0.11562951215470921,11839.375,11839.375,11839.375,0.24661704411480054,70075.0,284145.0,24,24,0.24661704411480054,1.0,1.0,13.20683244248199,284145.0,21515.0,24,24,13.20683244248199,1.0,1.0,13144.733246511463,3735010228.33,282790.0,22,22,13207.71678040242,0.9166666666666666,0.9952313079589646,11903.3344923086,3382272979.3170276,282790.0,22,22,11960.369812641988,0.9166666666666666,0.9952313079589646,12178.134256907566,3460355958.4290004,282790.0,22,22,12236.48629169702,0.9166666666666666,0.9952313079589646,11028.021857399382,3133557270.6707478,282790.0,22,22,11080.863080981462,0.9166666666666666,0.9952313079589646,1801.45513917021,511874470.5195193,282790.0,22,22,1810.0868860975258,0.9166666666666666,0.9952313079589646,6549.3464898352495,1860964058.3542368,282790.0,22,22,6580.727954857798,0.9166666666666666,0.9952313079589646,0.5938822550882855,1860964058.3542368,3133557270.6707478,22,22,0.5938822550882855,0.9166666666666666,1.0
AT,2014,69,69,356895.0,289470.0,69,0,0,,9385.0,183460.0,72560.0,24065.0,82945.0,69,0,0,,1485.0,40090.0,22185.0,7135.0,30505.0,46160.0,15640.0,3807408440.52,3416340000.6460466,3545769114.98,3181574304.3599195,592531295.9599999,531670925.1572497,,,5172.391304347826,1765.0,60.0,84000.0,20,69,69,1.0,True,high,1.0,0.0,0.0,True,356895.0,0.032421321725912874,0.032421321725912874,0.032421321725912874,0.1582312200319659,0.6337789753687775,0.6337789753687775,0.6337789753687775,0.21852174861005125,0.25066500846374407,0.25066500846374407,0.25066500846374407,0.30574696802646084,0.08313469444156563,0.08313469444156563,0.08313469444156563,0.29648867650114274,0.08313469444156563,0.08313469444156563,0.08313469444156563,5172.391304347826,5172.391304347826,5172.391304347826,0.23240729065971785,82945.0,356895.0,69,69,0.23240729065971785,1.0,1.0,11.699557449598426,356895.0,30505.0,69,69,11.699557449598426,1.0,1.0,10668.147327701425,3807408440.52,283940.0,22,22,13409.20067803057,0.3188405797101449,0.7955841353899606,9572.395244108342,3416340000.6460466,283940.0,22,22,12031.908151884365,0.3188405797101449,0.7955841353899606,9935.048445565222,3545769114.98,283940.0,22,22,12487.74077262802,0.3188405797101449,0.7955841353899606,8914.594780985779,3181574304.3599195,283940.0,22,22,11205.093697118826,0.3188405797101449,0.7955841353899606,1489.7124508812108,531670925.1572497,283940.0,22,22,1872.4763159725635,0.3188405797101449,0.7955841353899606,,,,0,0,,0.0,,,,,0,0,,0.0,
AT,2015,69,69,362415.0,302470.0,69,0,0,,9335.0,192100.0,77525.0,23510.0,86430.0,69,0,0,,1495.0,42285.0,24460.0,7170.0,31540.0,46050.0,15920.0,3926521198.71,3534349750.4050555,3684750478.89,3316726505.805789,643429812.8199999,579165598.0593361,2158822000.0,1943204075.7543025,5252.391304347826,1805.0,100.0,85100.0,20,69,69,1.0,True,high,1.0,0.0,0.0,True,362415.0,0.030862564882467684,0.030862564882467684,0.030862564882467684,0.16014997321906801,0.6351043078652429,0.6351043078652429,0.6351043078652429,0.22011972930765225,0.2563064105531127,0.2563064105531127,0.2563064105531127,0.31551112544340537,0.07772671669917677,0.07772671669917677,0.07772671669917677,0.30497660569970225,0.07772671669917677,0.07772671669917677,0.07772671669917677,5252.391304347826,5252.391304347826,5252.391304347826,0.2384835064773809,86430.0,362415.0,69,69,0.2384835064773809,1.0,1.0,11.490646797717185,362415.0,31540.0,69,69,11.490646797717185,1.0,1.0,10834.323079094409,3926521198.71,286860.0,22,22,13687.935573833925,0.3188405797101449,0.7915235296552295,9752.217072706857,3534349750.4050555,286860.0,22,22,12320.817647650616,0.3188405797101449,0.7915235296552295,10167.212943421215,3684750478.89,286860.0,22,22,12845.117753921773,0.3188405797101449,0.7915235296552295,9151.736285213881,3316726505.805789,286860.0,22,22,11562.178434796726,0.3188405797101449,0.7915235296552295,1598.072922090245,579165598.0593361,286860.0,22,22,2018.9834694950014,0.3188405797101449,0.7915235296552295,5361.820221994957,1943204075.7543025,286860.0,22,22,6774.050323343452,0.3188405797101449,0.7915235296552295,0.5858801056863767,1943204075.7543025,3316726505.805789,22,22,0.5858801056863767,0.3188405797101449,1.0
AT,2016,69,69,362740.0,308770.0,69,0,0,,8575.0,195950.0,81375.0,22870.0,89300.0,69,0,0,,1200.0,44275.0,26265.0,7340.0,31765.0,46530.0,16065.0,4019123018.14,3593475808.610131,3741945335.52,3345652765.452188,665889331.81,595367993.0350038,,,5257.101449275362,1975.0,120.0,80885.0,20,69,69,1.0,True,high,1.0,0.0,0.0,True,362740.0,0.027771480389934256,0.027771480389934256,0.027771480389934256,0.13994169096209913,0.6346147617968066,0.6346147617968066,0.6346147617968066,0.22595049757591223,0.2635456812514169,0.2635456812514169,0.2635456812514169,0.32276497695852535,0.07406807656184215,0.07406807656184215,0.07406807656184215,0.3209444687363358,0.07406807656184215,0.07406807656184215,0.07406807656184215,5257.101449275362,5257.101449275362,5257.101449275362,0.24618183823124,89300.0,362740.0,69,69,0.24618183823124,1.0,1.0,11.41948685660318,362740.0,31765.0,69,69,11.41948685660318,1.0,1.0,11079.900254011138,4019123018.14,280670.0,22,22,14319.745673353047,0.3188405797101449,0.7737497932403374,9906.477941804407,3593475808.610131,280670.0,22,22,12803.205930844517,0.3188405797101449,0.7737497932403374,10315.778065611732,3741945335.52,280670.0,22,22,13332.18846160972,0.3188405797101449,0.7737497932403374,9223.28049140483,3345652765.452188,280670.0,22,22,11920.236453672242,0.3188405797101449,0.7737497932403374,1641.3078045845614,595367993.0350038,280670.0,22,22,2121.2384402857583,0.3188405797101449,0.7737497932403374,,,,0,0,,0.0,,,,,0,0,,0.0,
