country_code,year,total_students,academic_personnel_fte,total_personnel_fte,student_staff_ratio,total_revenues_eur,total_revenues_ppp,total_expenditure_eur,total_expenditure_ppp,revenue_per_student_eur,revenue_per_student_ppp,expenditure_per_student_eur,expenditure_per_student_ppp,third_party_funding_ppp,third_party_funding_per_student_ppp,rd_expenditure_ppp,rd_expenditure_per_student_ppp,rd_expenditure_share_of_expenditure_ppp,student_staff_ratio_aggregate_unmatched,student_staff_ratio_pair_numerator,student_staff_ratio_pair_denominator,student_staff_ratio_pair_records,student_staff_ratio_pair_institutions,student_staff_ratio_pair_record_coverage,student_staff_ratio_denominator_coverage,revenue_per_student_eur_aggregate_unmatched,revenue_per_student_eur_pair_numerator,revenue_per_student_eur_pair_denominator,revenue_per_student_eur_pair_records,revenue_per_student_eur_pair_institutions,revenue_per_student_eur_pair_record_coverage,revenue_per_student_eur_denominator_coverage,revenue_per_student_ppp_aggregate_unmatched,revenue_per_student_ppp_pair_numerator,revenue_per_student_ppp_pair_denominator,revenue_per_student_ppp_pair_records,revenue_per_student_ppp_pair_institutions,revenue_per_student_ppp_pair_record_coverage,revenue_per_student_ppp_denominator_coverage,expenditure_per_student_eur_aggregate_unmatched,expenditure_per_student_eur_pair_numerator,expenditure_per_student_eur_pair_denominator,expenditure_per_student_eur_pair_records,expenditure_per_student_eur_pair_institutions,expenditure_per_student_eur_pair_record_coverage,expenditure_per_student_eur_denominator_coverage,expenditure_per_student_ppp_aggregate_unmatched,expenditure_per_student_ppp_pair_numerator,expenditure_per_student_ppp_pair_denominator,expenditure_per_student_ppp_pair_records,expenditure_per_student_ppp_pair_institutions,expenditure_per_student_ppp_pair_record_coverage,expenditure_per_student_ppp_denominator_coverage,third_party_funding_per_student_ppp_aggregate_unmatched,third_party_funding_per_student_ppp_pair_numerator,third_party_funding_per_student_ppp_pair_denominator,third_party_funding_per_student_ppp_pair_records,third_party_funding_per_student_ppp_pair_institutions,third_party_funding_per_student_ppp_pair_record_coverage,third_party_funding_per_student_ppp_denominator_coverage,rd_expenditure_per_student_ppp_aggregate_unmatched,rd_expenditure_per_student_ppp_pair_numerator,rd_expenditure_per_student_ppp_pair_denominator,rd_expenditure_per_student_ppp_pair_records,rd_expenditure_per_student_ppp_pair_institutions,rd_expenditure_per_student_ppp_pair_record_coverage,rd_expenditure_per_student_ppp_denominator_coverage,rd_expenditure_share_of_expenditure_ppp_aggregate_unmatched,rd_expenditure_share_of_expenditure_ppp_pair_numerator,rd_expenditure_share_of_expenditure_ppp_pair_denominator,rd_expenditure_share_of_expenditure_ppp_pair_records,rd_expenditure_share_of_expenditure_ppp_pair_institutions,rd_expenditure_share_of_expenditure_ppp_pair_record_coverage,rd_expenditure_share_of_expenditure_ppp_denominator_coverage
AL,2016,139575.0,,,,,,,,,,,,,,0.0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,0.0,0.0,9885.0,17,17,0.425,0.07082213863514239,,,,0,0,0.0,
AL,2017,131833.0,,,,,,,,,,,,,,0.0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,0.0,0.0,12976.0,21,21,0.525,0.09842755607473092,,,,0,0,0.0,
AL,2018,139043.0,,,,,,,,,,,,,,0.0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,0.0,0.0,14096.0,23,23,0.5609756097560976,0.10137871018318075,,,,0,0,0.0,
AL,2019,130264.0,,,,,,,,,,,,,,0.0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,0.0,0.0,14265.0,23,23,0.5609756097560976,0.10950838297611006,,,,0,0,0.0,
AL,2022,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,
AL,2023,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,
AT,2013,284145.0,21515.0,34725.0,13.20683244248199,3735010228.33,3382272979.3170276,3460355958.4290004,3133557270.6707478,13207.71678040242,11960.369812641988,12236.48629169702,11080.863080981462,511874470.5195193,1810.0868860975258,1860964058.3542368,6580.727954857798,0.5938822550882855,13.20683244248199,284145.0,21515.0,24,24,1.0,1.0,13144.733246511463,3735010228.33,282790.0,22,22,0.9166666666666666,0.9952313079589646,11903.3344923086,3382272979.3170276,282790.0,22,22,0.9166666666666666,0.9952313079589646,12178.134256907566,3460355958.4290004,282790.0,22,22,0.9166666666666666,0.9952313079589646,11028.021857399382,3133557270.6707478,282790.0,22,22,0.9166666666666666,0.9952313079589646,1801.45513917021,511874470.5195193,282790.0,22,22,0.9166666666666666,0.9952313079589646,6549.3464898352495,1860964058.3542368,282790.0,22,22,0.9166666666666666,0.9952313079589646,0.5938822550882855,1860964058.3542368,3133557270.6707478,22,22,0.9166666666666666,1.0
AT,2014,356895.0,30505.0,46160.0,11.699557449598426,3807408440.52,3416340000.6460466,3545769114.98,3181574304.3599195,13409.20067803057,12031.908151884365,12487.74077262802,11205.093697118826,531670925.1572497,1872.4763159725635,,,,11.699557449598426,356895.0,30505.0,69,69,1.0,1.0,10668.147327701425,3807408440.52,283940.0,22,22,0.3188405797101449,0.7955841353899606,9572.395244108342,3416340000.6460466,283940.0,22,22,0.3188405797101449,0.7955841353899606,9935.048445565222,3545769114.98,283940.0,22,22,0.3188405797101449,0.7955841353899606,8914.594780985779,3181574304.3599195,283940.0,22,22,0.3188405797101449,0.7955841353899606,1489.7124508812108,531670925.1572497,283940.0,22,22,0.3188405797101449,0.7955841353899606,,,,0,0,0.0,,,,,0,0,0.0,
AT,2015,362415.0,31540.0,46050.0,11.490646797717185,3926521198.71,3534349750.4050555,3684750478.89,3316726505.805789,13687.935573833925,12320.817647650616,12845.117753921773,11562.178434796726,579165598.0593361,2018.9834694950014,1943204075.7543025,6774.050323343452,0.5858801056863767,11.490646797717185,362415.0,31540.0,69,69,1.0,1.0,10834.323079094409,3926521198.71,286860.0,22,22,0.3188405797101449,0.7915235296552295,9752.217072706857,3534349750.4050555,286860.0,22,22,0.3188405797101449,0.7915235296552295,10167.212943421215,3684750478.89,286860.0,22,22,0.3188405797101449,0.7915235296552295,9151.736285213881,3316726505.805789,286860.0,22,22,0.3188405797101449,0.7915235296552295,1598.072922090245,579165598.0593361,286860.0,22,22,0.3188405797101449,0.7915235296552295,5361.820221994957,1943204075.7543025,286860.0,22,22,0.3188405797101449,0.7915235296552295,0.5858801056863767,1943204075.7543025,3316726505.805789,22,22,0.3188405797101449,1.0
AT,2016,362740.0,31765.0,46530.0,11.41948685660318,4019123018.14,3593475808.610131,3741945335.52,3345652765.452188,14319.745673353047,12803.205930844517,13332.18846160972,11920.236453672242,595367993.0350038,2121.2384402857583,,,,11.41948685660318,362740.0,31765.0,69,69,1.0,1.0,11079.900254011138,4019123018.14,280670.0,22,22,0.3188405797101449,0.7737497932403374,9906.477941804407,3593475808.610131,280670.0,22,22,0.3188405797101449,0.7737497932403374,10315.778065611732,3741945335.52,280670.0,22,22,0.3188405797101449,0.7737497932403374,9223.28049140483,3345652765.452188,280670.0,22,22,0.3188405797101449,0.7737497932403374,1641.3078045845614,595367993.0350038,280670.0,22,22,0.3188405797101449,0.7737497932403374,,,,0,0,0.0,,,,,0,0,0.0,
