country_code,n_institutions
DE,396
PL,263
IT,210
UK,200
PT,94
ES,89
AT,76
RO,69
NL,55
CZ,52
HU,50
CH,44
RS,40
SE,39
HR,38
FI,35
CY,31
NO,30
LT,29
BE,21
SK,20
MT,15
DK,8
EE,7
LI,2
LU,1
IS,1
