country_code,year,institutions_count,institutions_with_student_data,student_coverage_share,avg_observed_institution_size,students_per_registered_institution,records_with_complete_isced_structure,complete_isced_structure_share,isced_structure_coverage_flag,isced_shares_reliable,total_students,total_students_reliable,students_total_reliable,students_total_calc,students_total_with_observed_isced8,students_total_component_sum_complete_records,students_total_component_sum_incomplete_records,students_total_component_sum_incomplete_students,students_total_component_sum_incomplete_share,students_isced5,students_isced6,students_isced7,students_isced8,isced5_share_observed,isced6_share_observed,isced7_share_observed,isced8_share_observed,isced5_share_reliable,isced6_share_reliable,isced7_share_reliable,isced8_share_reliable,isced5_share,isced6_share,isced7_share,isced8_share,phd_share,phd_share_observed,phd_share_reliable,foreign_students_total,foreign_students_total_with_observed_isced8,foreign_total_component_sum_complete_records,foreign_total_component_sum_incomplete_records,foreign_total_component_sum_incomplete_students,foreign_total_component_sum_incomplete_share,foreign_students_share,foreign_students_isced5_share,foreign_students_isced6_share,foreign_students_isced7_share,foreign_students_isced8_share,foreign_students_share_aggregate_unmatched,foreign_students_share_pair_numerator,foreign_students_share_pair_denominator,foreign_students_share_pair_records,foreign_students_share_pair_institutions,foreign_students_share_pair_record_coverage,foreign_students_share_denominator_coverage
AL,2018,41,41,1.0,3391.2926829268295,3391.2926829268295,41,1.0,high,True,139043.0,139043.0,True,139043.0,41,0,0,,0.0,4198.0,89231.0,43749.0,1865.0,0.030192098847119236,0.6417511129650539,0.31464367138223426,0.013413116805592514,0.030192098847119236,0.6417511129650539,0.31464367138223426,0.013413116805592514,0.030192098847119236,0.6417511129650539,0.31464367138223426,0.013413116805592514,0.013413116805592514,0.013413116805592514,0.013413116805592514,2270.0,41,0,0,,0.0,0.016325884798227885,0.0035731300619342545,0.007990496576301957,0.030492125534297927,0.11152815013404825,0.016325884798227885,2270.0,139043.0,39,39,0.9512195121951219,1.0
AL,2019,41,41,1.0,3177.170731707317,3177.170731707317,41,1.0,high,True,130264.0,130264.0,True,130264.0,41,0,0,,0.0,5342.0,82669.0,40113.0,2140.0,0.04100902782042621,0.6346266044340724,0.30793619111957254,0.016428176625928884,0.04100902782042621,0.6346266044340724,0.30793619111957254,0.016428176625928884,0.04100902782042621,0.6346266044340724,0.30793619111957254,0.016428176625928884,0.016428176625928884,0.016428176625928884,0.016428176625928884,2246.0,41,0,0,,0.0,0.01724190873917583,0.0041183077499064025,0.008056224219477676,0.032931967192680676,0.11074766355140186,0.01724190873917583,2246.0,130264.0,39,39,0.9512195121951219,1.0
AL,2022,41,0,0.0,,,0,0.0,no_complete_records,False,,,True,,0,0,0,,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,,0.0,,,,,,,,,0,0,0.0,
AL,2023,40,0,0.0,,,0,0.0,no_complete_records,False,,,True,,0,0,0,,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,,0.0,,,,,,,,,0,0,0.0,
AT,2013,24,24,1.0,11839.375,11839.375,24,1.0,high,True,284145.0,284145.0,True,211235.0,24,0,0,,0.0,4875.0,131725.0,50210.0,24425.0,0.0230785617913698,0.6235945747627051,0.23769735129121594,0.11562951215470921,0.0230785617913698,0.6235945747627051,0.23769735129121594,0.11562951215470921,0.0230785617913698,0.6235945747627051,0.23769735129121594,0.11562951215470921,0.11562951215470921,0.11562951215470921,0.11562951215470921,70075.0,24,0,0,,0.0,0.24661704411480054,0.26256410256410256,0.25424179161131144,0.31358295160326627,0.2827021494370522,0.24661704411480054,70075.0,284145.0,24,24,1.0,1.0
AT,2014,69,69,1.0,5172.391304347826,5172.391304347826,69,1.0,high,True,356895.0,356895.0,True,289470.0,69,0,0,,0.0,9385.0,183460.0,72560.0,24065.0,0.032421321725912874,0.6337789753687775,0.25066500846374407,0.08313469444156563,0.032421321725912874,0.6337789753687775,0.25066500846374407,0.08313469444156563,0.032421321725912874,0.6337789753687775,0.25066500846374407,0.08313469444156563,0.08313469444156563,0.08313469444156563,0.08313469444156563,82945.0,69,0,0,,0.0,0.23240729065971785,0.1582312200319659,0.21852174861005125,0.30574696802646084,0.29648867650114274,0.23240729065971785,82945.0,356895.0,69,69,1.0,1.0
AT,2015,69,69,1.0,5252.391304347826,5252.391304347826,69,1.0,high,True,362415.0,362415.0,True,302470.0,69,0,0,,0.0,9335.0,192100.0,77525.0,23510.0,0.030862564882467684,0.6351043078652429,0.2563064105531127,0.07772671669917677,0.030862564882467684,0.6351043078652429,0.2563064105531127,0.07772671669917677,0.030862564882467684,0.6351043078652429,0.2563064105531127,0.07772671669917677,0.07772671669917677,0.07772671669917677,0.07772671669917677,86430.0,69,0,0,,0.0,0.2384835064773809,0.16014997321906801,0.22011972930765225,0.31551112544340537,0.30497660569970225,0.2384835064773809,86430.0,362415.0,69,69,1.0,1.0
AT,2016,69,69,1.0,5257.101449275362,5257.101449275362,69,1.0,high,True,362740.0,362740.0,True,308770.0,69,0,0,,0.0,8575.0,195950.0,81375.0,22870.0,0.027771480389934256,0.6346147617968066,0.2635456812514169,0.07406807656184215,0.027771480389934256,0.6346147617968066,0.2635456812514169,0.07406807656184215,0.027771480389934256,0.6346147617968066,0.2635456812514169,0.07406807656184215,0.07406807656184215,0.07406807656184215,0.07406807656184215,89300.0,69,0,0,,0.0,0.24618183823124,0.13994169096209913,0.22595049757591223,0.32276497695852535,0.3209444687363358,0.24618183823124,89300.0,362740.0,69,69,1.0,1.0
AT,2017,70,70,1.0,5194.517859977286,5194.517859977286,70,1.0,high,True,363616.25019841,363616.25019841,True,313619.07651304797,70,0,0,,0.0,8939.708946611001,199208.897984893,85077.09606063597,20393.373520907997,0.028504990978248317,0.6351938160133094,0.27127525852878526,0.06502593447965702,0.028504990978248317,0.6351938160133094,0.27127525852878526,0.06502593447965702,0.028504990978248317,0.6351938160133094,0.27127525852878526,0.06502593447965702,0.06502593447965702,0.06502593447965702,0.06502593447965702,92090.616233764,70,0,0,,0.0,0.2532632031255865,0.14982723853339366,0.230808024943413,0.3267571199524225,0.34463923620465653,0.2532632031255865,92090.616233764,363616.25019841,70,70,1.0,1.0
AT,2018,70,70,1.0,5108.976870748328,5108.976870748328,70,1.0,high,True,357628.380952383,357628.380952383,True,312144.745958078,70,0,0,,0.0,8678.858369406002,197156.90499329197,86943.75495080299,19365.227644577,0.027803954677397002,0.6316201299116877,0.2785366599202019,0.062039255490713305,0.027803954677397002,0.6316201299116877,0.2785366599202019,0.062039255490713305,0.027803954677397002,0.6316201299116877,0.2785366599202019,0.062039255490713305,0.062039255490713305,0.062039255490713305,0.062039255490713305,92528.915860601,70,0,0,,0.0,0.25872923064492725,0.1571415808114336,0.23279533897131122,0.3300678188407476,0.36238159184083724,0.25872923064492725,92528.915860601,357628.380952383,70,70,1.0,1.0
AT,2019,72,72,1.0,4969.698082010485,4969.698082010485,72,1.0,high,True,357818.26190475497,357818.26190475497,True,315859.62807304796,72,0,0,,0.0,8412.762467107,196225.853101781,92210.827597401,19010.184906759,0.02663449747734587,0.6212438553761622,0.2919360988295588,0.06018554831693327,0.02663449747734587,0.6212438553761622,0.2919360988295588,0.06018554831693327,0.02663449747734587,0.6212438553761622,0.2919360988295588,0.06018554831693327,0.06018554831693327,0.06018554831693327,0.06018554831693327,94804.289199993,72,0,0,,0.0,0.2649509521826146,0.15812398472073497,0.23730991171342933,0.3305633189326037,0.3740951874874973,0.2649509521826146,94804.289199993,357818.26190475497,72,72,1.0,1.0
