Код спеціальності,Назва спеціальності,students,institutions,regions,degrees,budget_students,contract_students,budget_share
153,Мікро- та наносистемна техніка,228,19,11,4,190.0,38,0.8333333333333334
212,"Ветеринарна гігієна, санітарія і експертиза",186,10,10,2,138.0,48,0.7419354838709677
203,Садівництво та виноградарство,185,11,10,2,120.0,65,0.6486486486486487
E8,Статистика,174,7,7,3,129.0,45,0.7413793103448276
145,Відновлювані джерела енергії та гідроенергетика,161,7,6,3,92.0,69,0.5714285714285714
027,"Музеєзнавство, пам’яткознавство",137,9,6,2,97.0,40,0.708029197080292
I3,Педіатрія,129,12,11,2,122.0,7,0.9457364341085271
I4,Медична психологія,120,8,7,2,109.0,11,0.9083333333333333
227,Фізична реабілітація,94,1,1,1,0.0,94,0.0
B7,Релігієзнавство,89,7,4,3,24.0,65,0.2696629213483146
031,Релігієзнавство,88,10,7,3,44.0,44,0.5
6.070106,автомобільний транспорт,78,1,1,1,0.0,78,0.0
6.050102,комп’ютерна інженерія,74,3,3,1,2.0,72,0.02702702702702703
5.07010602,обслуговування та ремонт автомобілів і двигунів,54,3,3,1,0.0,54,0.0
6.010203,здоров’я людини,43,3,3,1,0.0,43,0.0
251,Державна безпека,37,2,2,1,0.0,37,0.0
5.12010102,сестринська справа,33,5,5,1,2.0,31,0.06060606060606061
145,Гідроенергетика,32,4,3,2,30.0,2,0.9375
7.03050401,економіка підприємства,28,2,1,1,0.0,28,0.0
255,Озброєння та військова техніка,20,4,2,1,14.0,6,0.7
5.12010106,стоматологія ортопедична,19,2,2,1,0.0,19,0.0
6.030504,економіка підприємства,19,4,3,1,0.0,19,0.0
5.03050901,бухгалтерський облік,19,1,1,1,0.0,19,0.0
K1,Державна безпека,17,2,2,1,0.0,17,0.0
7.03050901,облік і аудит,15,2,2,1,0.0,15,0.0
6.030509,облік і аудит,14,2,2,1,0.0,14,0.0
252,Безпека державного кордону,14,1,1,1,0.0,14,0.0
7.12010001,лікувальна справа,13,6,6,1,2.0,11,0.15384615384615385
6.030601,менеджмент,12,5,5,1,0.0,12,0.0
253,Військове управління,9,1,1,1,5.0,4,0.5555555555555556
122,Комп’ютерні науки та інформаційні технології,9,5,3,4,5.0,4,0.5555555555555556
5.12010101,лікувальна справа,8,2,2,1,1.0,7,0.125
271,Річковий та морський транспорт,8,3,2,2,3.0,5,0.375
7.03060101,менеджмент організацій і адміністрування,8,1,1,1,0.0,8,0.0
K7,Озброєння та військова техніка,7,2,1,1,3.0,4,0.42857142857142855
7.03050701,маркетинг,6,1,1,1,0.0,6,0.0
6.030507,маркетинг,6,1,1,1,0.0,6,0.0
K2,Безпека державного кордону,5,1,1,1,0.0,5,0.0
6.010201,фізичне виховання,5,3,3,1,0.0,5,0.0
6.030401,правознавство,5,4,4,1,0.0,5,0.0
257,Управління інформаційною безпекою,4,1,1,1,0.0,4,0.0
6.090102,технологія виробництва і переробки продукції тваринництва,4,1,1,1,2.0,2,0.5
5.01010401,професійна освіта,3,1,1,1,0.0,3,0.0
5.03040101,правознавство,3,3,2,1,0.0,3,0.0
I11,Дитячі та молодіжні служби,3,2,2,1,1.0,2,0.3333333333333333
5.12010105,акушерська справа,3,1,1,1,0.0,3,0.0
6.030102,психологія,3,3,2,1,1.0,2,0.3333333333333333
011,Науки про освіту,3,2,2,1,0.0,3,0.0
5.05170101,виробництво харчової продукції,2,2,2,1,1.0,1,0.5
6.020303,філологія,2,2,2,1,1.0,1,0.5
6.050101,комп’ютерні науки,2,2,2,1,2.0,0,1.0
6.050103,програмна інженерія,2,2,2,1,1.0,1,0.5
6.030508,фінанси і кредит,2,2,2,1,0.0,2,0.0
6.090101,агрономія,2,1,1,1,0.0,2,0.0
5.05030102,підземна розробка корисних копалин,2,1,1,1,1.0,1,0.5
6.050701,електротехніка та електротехнології,2,1,1,1,2.0,0,1.0
6.090103,лісове і садово-паркове господарство,2,1,1,1,0.0,2,0.0
7.11010101,ветеринарна медицина,2,1,1,1,0.0,2,0.0
7.03040101,правознавство,2,2,2,1,0.0,2,0.0
5.02020702,перукарське мистецтво та декоративна косметика,1,1,1,1,0.0,1,0.0
6.090201,водні біоресурси та аквакультура,1,1,1,1,0.0,1,0.0
6.040106,"екологія, охорона навколишнього середовища та збалансоване природокористування",1,1,1,1,0.0,1,0.0
5.03050401,економіка підприємства,1,1,1,1,1.0,0,1.0
5.02020401,музичне мистецтво,1,1,1,1,1.0,0,1.0
5.02020501,образотворче мистецтво,1,1,1,1,0.0,1,0.0
7.03010201,психологія,1,1,1,1,0.0,1,0.0
7.01010501,корекційна освіта,1,1,1,1,0.0,1,0.0
5.01010201,початкова освіта,1,1,1,1,1.0,0,1.0
7.02030302,мова і література,1,1,1,1,1.0,0,1.0
5.05050204,"експлуатація та ремонт підйомно-транспортних, будівельних і дорожніх машин і обладнання",1,1,1,1,1.0,0,1.0
7.03020201,міжнародне право,1,1,1,1,0.0,1,0.0
7.12010002,педіатрія,1,1,1,1,0.0,1,0.0
8.03040101,правознавство,1,1,1,1,0.0,1,0.0
8.18010006,зовнішня політика,1,1,1,1,1.0,0,1.0
074,Публічне управління та адміністрування,1,1,1,1,0.0,1,0.0
5.05030302,обробка природного каменю,1,1,1,1,1.0,0,1.0
5.05160201,швейне виробництво,1,1,1,1,0.0,1,0.0
5.05050302,технологія обробки матеріалів на верстатах і автоматичних лініях,1,1,1,1,1.0,0,1.0
6.040102,біологія,1,1,1,1,0.0,1,0.0
6.050502,інженерна механіка,1,1,1,1,0.0,1,0.0
6.030505,управління персоналом та економіка праці,1,1,1,1,0.0,1,0.0
6.030502,економічна кібернетика,1,1,1,1,0.0,1,0.0
6.050902,радіоелектронні апарати,1,1,1,1,1.0,0,1.0
6.030203,міжнародні економічні відносини,1,1,1,1,0.0,1,0.0
8.18010010,"якість, стандартизація та сертифікація",1,1,1,1,0.0,1,0.0
6.030101,соціологія,1,1,1,1,0.0,1,0.0
6.020202,хореографія,1,1,1,1,0.0,1,0.0
6.051301,хімічна технологія,1,1,1,1,0.0,1,0.0
6.010104,професійна освіта,1,1,1,1,0.0,1,0.0
6.010102,початкова освіта,1,1,1,1,0.0,1,0.0
5.14010301,Туристичне обслуговування,1,1,1,1,0.0,1,0.0
5.14010201,обслуговування та ремонт електропобутової техніки,1,1,1,1,1.0,0,1.0
6.051701,харчові технології та інженерія,1,1,1,1,0.0,1,0.0
6.060101,будівництво,1,1,1,1,0.0,1,0.0
5.10010201,експлуатація та ремонт машин і обладнання агропромислового виробництва,1,1,1,1,1.0,0,1.0
5.09010103,виробництво і переробка продукції рослинництва,1,1,1,1,1.0,0,1.0
8.18010013,управління проектами,1,1,1,1,1.0,0,1.0
226,Фармація,0,1,1,1,0.0,0,
